Name,Code,Linename,Chainage,Easting,Northing,Elevation,Sd,VA,Cant,Gauge,Lateral (center),Elevation (center),Lateral canted (center),Elevation canted (center),Lateral (rail),Elevation (rail),Lateral canted (rail),Elevation canted (rail),Lateral (center),Elevation (height ref. rail),Reference
108,piller,L01,68407.9940,545323.668,201460.686,339.158,15.847,73.5422,0.0024,1.4324,-15.231,5.018,-15.223,5.043,-14.517,5.019,-14.508,5.043,-15.231,5.019,2
109,ft,L01,68407.9940,545330.676,201456.992,339.570,8.735,56.4343,0.0024,1.4324,-7.309,5.430,-7.300,5.442,-6.594,5.431,-6.585,5.442,-7.309,5.431,2
110,ft,L01,68407.9940,545336.357,201453.997,339.880,5.168,9.4919,0.0024,1.4324,-0.888,5.740,-0.878,5.742,-0.173,5.741,-0.164,5.742,-0.888,5.741,2
111,ft,L01,68407.9940,545340.670,201451.702,338.065,5.168,309.1432,0.0024,1.4324,3.999,3.925,4.005,3.919,3.281,3.924,3.288,3.919,3.999,3.926,2
112,ft,L01,68407.9940,545350.740,201446.416,340.723,16.475,291.0057,0.0024,1.4324,15.372,6.583,15.382,6.558,14.654,6.582,14.665,6.558,15.372,6.584,2
113,piller,L01,68407.9940,545351.252,201446.145,340.644,16.989,290.0355,0.0024,1.4323,15.950,6.504,15.961,6.479,15.233,6.503,15.243,6.479,15.950,6.506,2
114,piller,L01,68410.5800,545331.779,201459.298,335.833,7.490,81.4442,0.0014,1.4321,-7.410,1.718,-7.409,1.725,-6.696,1.719,-6.694,1.725,-7.410,1.719,2
115,piller,L01,68410.5800,545331.782,201459.325,338.443,8.285,63.3504,0.0015,1.4321,-7.420,4.328,-7.416,4.335,-6.706,4.329,-6.702,4.335,-7.420,4.329,2
116,ft,L01,68410.5800,545331.897,201459.266,338.542,8.214,62.3345,0.0014,1.4321,-7.291,4.428,-7.287,4.435,-6.577,4.428,-6.572,4.435,-7.291,4.428,2
117,ft,L01,68410.5800,545335.028,201457.620,339.256,5.856,39.5113,0.0014,1.4321,-3.754,5.142,-3.749,5.145,-3.040,5.143,-3.035,5.145,-3.754,5.143,2
118,ft,L01,68410.5800,545337.777,201456.172,339.638,4.916,7.3212,0.0015,1.4321,-0.647,5.523,-0.641,5.524,0.068,5.524,0.073,5.524,-0.647,5.524,2
