ID,Code,Easting,Northing,Elevation,Sd,HA,VA,PC,TH
2001,fvo,545429.3766,201622.3374,331.7111,103.6944,83.1847,90.4423,-0.0350,0.9000
2002,fvo,545429.3756,201622.3380,331.7107,103.6944,83.1845,90.4424,-0.0350,0.9000
2003,fvo,545428.9404,201621.4876,331.6977,102.7417,83.2056,90.4515,-0.0350,0.9000
2004,fvo,545429.7866,201621.0656,331.5719,102.8229,83.5228,90.4925,-0.0350,0.9000
2005,szko,545429.0002,201620.0023,332.1857,101.4984,83.4839,90.2916,-0.0350,0.9000
2006,terepj,545427.4817,201613.2502,331.4952,94.9844,85.0939,90.5616,-0.0350,0.9000
2007,zkaj,545425.4748,201614.2998,331.5170,94.8029,83.4749,90.5535,-0.0350,0.9000
2008,zktj,545424.2637,201614.9924,332.0785,94.7630,82.5712,90.3514,-0.0350,0.9000
2009,zktb,545421.2477,201616.7031,332.0573,94.7595,80.5122,90.3600,-0.0350,0.9000
2010,zkab,545420.1003,201617.1924,331.2485,94.6604,80.0614,91.0526,-0.0350,0.9000
2011,terepb,545419.4234,201617.5623,331.0968,94.6776,79.3813,91.1056,-0.0350,0.9000
2012,terepb,545415.3900,201609.7979,331.2392,85.9271,79.3739,91.1227,-0.0350,0.9000
2013,zkab,545415.7158,201609.5442,331.4465,85.8483,79.5355,91.0413,-0.0350,0.9000
2014,zktb,545416.8676,201608.8838,332.0801,85.7979,80.4706,90.3851,-0.0350,0.9000
2015,zktj,545420.3487,201606.9580,332.1787,85.8581,83.2631,90.3453,-0.0350,0.9000
2016,zkaj,545421.2365,201606.5787,331.7206,86.0041,84.0445,90.5308,-0.0350,0.9000
2017,terepj,545422.3385,201606.0978,331.2980,86.1918,84.5215,91.0953,-0.0350,0.9000
2018,ateresz,545422.0525,201605.9949,331.8255,85.9422,84.4449,90.4859,-0.0350,0.9000
2019,ateresz,545421.1718,201604.3571,331.7634,84.0888,84.5023,90.5236,-0.0350,0.9000
2020,ateresz,545414.3452,201608.0887,331.7838,83.9196,79.3148,90.5152,-0.0350,0.9000
2021,ateresz,545415.2302,201609.7121,331.7681,85.7680,79.3332,90.5123,-0.0350,0.9000
2022,mocsanb,545412.3908,201604.0992,331.1356,79.4915,79.3539,91.2249,-0.0350,0.9000
2023,mocsanb,545406.4528,201592.6276,331.3069,66.5739,79.3503,91.3002,-0.0350,0.9000
2024,mocsanb,545396.8715,201574.3725,331.6220,45.9573,79.2436,91.4652,-0.0350,0.9000
2025,mocsanb,545385.9506,201553.6235,331.7526,22.5278,78.4513,93.1819,-0.0350,0.9000
2026,zkab,545386.4793,201553.4191,332.1108,22.5698,80.1124,92.2314,-0.0350,0.9000
2027,zktb,545387.6218,201552.6138,332.7470,22.4184,83.4430,90.4627,-0.0350,0.9000
2028,zktj,545390.5866,201550.8775,332.8138,22.7454,92.2632,90.3540,-0.0350,0.9000
2029,zkaj,545391.8534,201550.1237,332.1502,23.0487,96.0404,92.1422,-0.0350,0.9000
2030,mocsanj,545392.2154,201549.9825,331.8015,23.2161,96.5724,93.0509,-0.0350,0.9000
2031,mocsanj,545398.7226,201562.1839,331.6555,36.6743,90.4537,92.1049,-0.0350,0.9000
2032,zkaj,545398.3087,201562.2592,331.9817,36.4668,90.1036,91.4046,-0.0350,0.9000
