GedoOffice2, Analysis: VeresFanni_felmérés260318 Date: 2026. 03. 20. Time: 8:23
Calculation of centre line: D = design gauge / 2
Horizontal  reference for rail points: Running edge
Vertical reference for rail points: Middle of head
Name,Code,East(left)[m],North(left)[m],Elev(left)[m],East(center)[m],North(center)[m],Elev(center)[m],East(right)[m],North(right)[m],Elev(right)[m],Cant[mm],Gauge[mm],Chainage[m],LineName,PrismSide,HeightRefRail
101,vg,545332.7543,201446.7974,334.2181,545333.3851,201446.4638,334.2188,545334.0194,201446.1284,334.2195,1.4,1431.1,68400.000,L01,0,0,
102,vg,545334.1510,201449.4421,334.1858,545334.7825,201449.1091,334.1863,545335.4172,201448.7744,334.1869,1.1,1431.5,68402.990,L01,0,0,
103,vg,545335.5991,201452.1908,334.1567,545336.2309,201451.8577,334.1576,545336.8656,201451.5231,334.1586,1.9,1431.8,68406.096,L01,0,0,
104,vg,545336.4353,201453.7761,334.1399,545337.0675,201453.4423,334.1411,545337.7020,201453.1073,334.1423,2.5,1432.4,68407.889,L01,0,0,
105,vg,545337.6428,201456.0624,334.1152,545338.2747,201455.7288,334.1159,545338.9092,201455.3939,334.1167,1.5,1432.1,68410.475,L01,0,0,
106,vg,545340.4739,201461.4260,334.0510,545341.1042,201461.0933,334.0523,545341.7388,201460.7585,334.0537,2.7,1430.2,68416.540,L01,0,0,
107,vg,545341.4532,201463.2828,334.0307,545342.0847,201462.9495,334.0317,545342.7193,201462.6147,334.0328,2.1,1431.5,68418.639,L01,0,0,
108,vg,545346.1863,201472.2629,333.9108,545346.8186,201471.9294,333.9103,545347.4532,201471.5947,333.9098,-1.0,1432.3,68428.793,L01,0,0,
109,vg,545350.8692,201481.1309,333.8013,545351.5013,201480.7971,333.8008,545352.1357,201480.4620,333.8004,-0.8,1432.3,68438.820,L01,0,0,
110,vg,545355.5566,201490.0119,333.7031,545356.1886,201489.6786,333.7053,545356.8233,201489.3438,333.7075,4.3,1432.1,68448.863,L01,0,0,
111,vg,545360.2316,201498.8771,333.6048,545360.8631,201498.5441,333.6063,545361.4978,201498.2095,333.6078,3.1,1431.4,68458.886,L01,0,0,
112,vg,545364.9427,201507.8111,333.5060,545365.5762,201507.4768,333.5073,545366.2108,201507.1419,333.5086,2.6,1433.8,68468.986,L01,0,0,
113,vg,545369.6491,201516.7267,333.4037,545370.2809,201516.3936,333.4087,545370.9155,201516.0589,333.4137,9.9,1431.7,68479.069,L01,0,0,
114,vg,545374.0912,201525.1544,333.3047,545374.7231,201524.8214,333.3080,545375.3579,201524.4869,333.3112,6.5,1431.8,68488.596,L01,0,0,
115,vg,545378.8204,201534.1178,333.2141,545379.4519,201533.7842,333.2181,545380.0864,201533.4491,333.2222,8.1,1431.8,68498.729,L01,0,0,
116,vg,545379.4146,201535.2421,333.2051,545380.0458,201534.9087,333.2084,545380.6802,201534.5735,333.2118,6.7,1431.3,68500.001,L01,0,0,
117,vg,545384.0854,201544.0873,333.1266,545384.7177,201543.7533,333.1278,545385.3521,201543.4181,333.1290,2.5,1432.6,68510.004,L01,0,0,
118,vg,545388.7846,201552.9753,333.0363,545389.4155,201552.6418,333.0367,545390.0498,201552.3065,333.0370,0.7,1431.1,68520.059,L01,0,0,
119,vg,545393.5142,201561.9295,332.9420,545394.1454,201561.5963,332.9417,545394.7799,201561.2614,332.9414,-0.6,1431.2,68530.186,L01,0,0,
120,vg,545398.1892,201570.7884,332.8502,545398.8203,201570.4555,332.8498,545399.4548,201570.1206,332.8494,-0.7,1431.0,68540.204,L01,0,0,
121,vg,545400.2019,201574.6019,332.8049,545400.8328,201574.2688,332.8055,545401.4673,201573.9338,332.8061,1.2,1430.9,68544.516,L01,0,0,
123,vg,545404.6321,201582.9895,332.7159,545405.2622,201582.6569,332.7139,545405.8968,201582.3221,332.7118,-4.2,1430.0,68553.913,L01,0,0,
124,vg,545409.3049,201591.8472,332.6183,545409.9359,201591.5138,332.6190,545410.5703,201591.1786,332.6197,1.4,1431.2,68563.928,L01,0,0,
126,vg,545414.0710,201600.8736,332.5160,545414.7032,201600.5412,332.5156,545415.3383,201600.2074,332.5151,-1.0,1431.8,68574.138,L01,0,0,
301,vg,545414.4616,201601.6147,332.5061,545415.0921,201601.2833,332.5063,545415.7272,201600.9495,332.5065,0.5,1429.8,68575.000,L01,0,0,
127,vg,545414.4730,201601.6365,332.5058,545415.1035,201601.3051,332.5060,545415.7386,201600.9712,332.5063,0.5,1430.9,68575.000,L01,0,0,
302,vg,545419.1326,201610.4660,332.4042,545419.7627,201610.1332,332.4033,545420.3972,201609.7982,332.4024,-1.8,1430.1,68585.006,L01,0,0,
128,vg,545419.1424,201610.4846,332.4040,545419.7726,201610.1519,332.4031,545420.4071,201609.8168,332.4022,-1.7,1431.0,68585.004,L01,0,0,
303,vg,545421.4655,201614.8874,332.3542,545422.0961,201614.5547,332.3545,545422.7307,201614.2198,332.3548,0.5,1430.5,68590.007,L01,0,0,
129,vg,545421.4739,201614.9034,332.3541,545422.1045,201614.5706,332.3543,545422.7391,201614.2357,332.3546,0.5,1431.2,68590.000,L01,0,0,
304,vg,545423.7898,201619.2885,332.3009,545424.4197,201618.9557,332.3021,545425.0541,201618.6205,332.3033,2.4,1429.9,68594.984,L01,0,0,
130,vg,545423.8097,201619.3261,332.3005,545424.4396,201618.9933,332.3017,545425.0740,201618.6582,332.3029,2.4,1430.6,68595.002,L01,0,0,
305,vg,545426.1277,201623.7129,332.2524,545426.7570,201623.3808,332.2525,545427.3915,201623.0458,332.2526,0.2,1429.0,68599.987,L01,0,0,
131,vg,545426.1439,201623.7435,332.2521,545426.7731,201623.4113,332.2522,545427.4076,201623.0764,332.2523,0.2,1429.7,68599.998,L01,0,0,
306,vg,545428.4586,201628.1325,332.2036,545429.0892,201627.7996,332.2034,545429.7237,201627.4647,332.2032,-0.4,1430.5,68604.985,L01,0,0,
132,vg,545428.4769,201628.1671,332.2032,545429.1075,201627.8343,332.2030,545429.7420,201627.4993,332.2028,-0.4,1431.1,68605.000,L01,0,0,
133,vg,545430.8121,201632.5903,332.1488,545431.4444,201632.2563,332.1479,545432.0789,201631.9212,332.1471,-1.7,1432.6,68610.003,L01,0,0,
307,vg,545433.1482,201637.0155,332.1009,545433.7797,201636.6824,332.1000,545434.4143,201636.3477,332.0991,-1.8,1431.4,68615.030,L01,0,0,
308,vg,545437.8512,201645.9347,332.0005,545438.4829,201645.6015,332.0017,545439.1175,201645.2667,332.0029,2.5,1431.7,68625.114,L01,0,0,
309,vg,545442.5287,201654.7954,331.9052,545443.1602,201654.4619,331.9057,545443.7947,201654.1268,331.9062,1.0,1431.7,68635.133,L01,0,0,
310,vg,545447.2170,201663.6742,331.8092,545447.8488,201663.3406,331.8095,545448.4832,201663.0055,331.8099,0.6,1431.9,68645.175,L01,0,0,
311,vg,545451.8434,201672.4334,331.7122,545452.4740,201672.1004,331.7109,545453.1085,201671.7654,331.7097,-2.5,1430.6,68655.081,L01,0,0,
312,vg,545456.5344,201681.3198,331.6193,545457.1648,201680.9870,331.6189,545457.7993,201680.6520,331.6185,-0.8,1430.4,68665.130,L01,0,0,
313,vg,545461.2729,201690.2973,331.5191,545461.9047,201689.9638,331.5170,545462.5392,201689.6289,331.5148,-4.4,1431.9,68675.282,L01,0,0,
314,vg,545465.9820,201699.2217,331.4238,545466.6141,201698.8882,331.4238,545467.2487,201698.5533,331.4237,-0.2,1432.2,68685.372,L01,0,0,
315,vg,545470.6551,201708.0782,331.3259,545471.2887,201707.7436,331.3255,545471.9232,201707.4087,331.3251,-0.7,1434.0,68695.387,L01,0,0,
316,vg,545475.3302,201716.9389,331.2277,545475.9645,201716.6048,331.2282,545476.5993,201716.2704,331.2287,1.0,1434.5,68705.406,L01,0,0,
318,vg,545478.2025,201722.3950,331.1674,545478.8375,201722.0605,331.1675,545479.4723,201721.7261,331.1676,0.2,1435.2,68711.572,L01,0,0,
319,vg,545482.8848,201731.2678,331.0716,545483.5190,201730.9329,331.0714,545484.1535,201730.5979,331.0711,-0.5,1434.7,68721.605,L01,0,0,
320,vg,545487.5784,201740.1572,330.9737,545488.2128,201739.8221,330.9742,545488.8472,201739.4870,330.9746,0.9,1434.9,68731.658,L01,0,0,
321,vg,545492.3778,201749.2423,330.8745,545493.0119,201748.9076,330.8751,545493.6464,201748.5726,330.8757,1.2,1434.5,68741.933,L01,0,0,
322,vg,545497.1854,201758.3543,330.7757,545497.8197,201758.0196,330.7764,545498.4543,201757.6847,330.7771,1.4,1434.7,68752.236,L01,0,0,
323,vg,545501.8712,201767.2299,330.6811,545502.5056,201766.8949,330.6816,545503.1401,201766.5599,330.6820,0.9,1434.9,68762.273,L01,0,0,
325,vg,545504.5370,201772.2790,330.6269,545505.1716,201771.9440,330.6271,545505.8061,201771.6090,330.6272,0.3,1435.1,68767.985,L01,0,0,
326,vg,545509.2552,201781.2162,330.5303,545509.8893,201780.8815,330.5309,545510.5238,201780.5465,330.5315,1.1,1434.5,68778.091,L01,0,0,
327,vg,545513.9515,201790.1110,330.4347,545514.5863,201789.7758,330.4349,545515.2208,201789.4408,330.4351,0.4,1435.4,68788.150,L01,0,0,
328,vg,545518.7298,201799.1619,330.3324,545519.3643,201798.8270,330.3328,545519.9988,201798.4921,330.3332,0.8,1434.9,68798.386,L01,0,0,
329,vg,545523.4212,201808.0518,330.2334,545524.0559,201807.7167,330.2337,545524.6904,201807.3817,330.2339,0.5,1435.2,68808.438,L01,0,0,
330,vg,545528.1772,201817.0583,330.1318,545528.8110,201816.7239,330.1322,545529.4455,201816.3890,330.1327,0.8,1434.1,68818.624,L01,0,0,
331,vg,545532.9211,201826.0507,330.0267,545533.5546,201825.7164,330.0269,545534.1892,201825.3815,330.0272,0.4,1433.8,68828.791,L01,0,0,
332,vg,545534.7096,201829.4396,329.9883,545535.3437,201829.1049,329.9887,545535.9782,201828.7699,329.9890,0.7,1434.5,68832.623,L01,0,0,
