GedoOffice2, Analysis: 2 Date: 2026. 04. 20. Time: 9:31
Calculation of centre line: D = design gauge / 2
Horizontal  reference for rail points: Running edge
Vertical reference for rail points: Middle of head
Name,Code,East(left)[m],North(left)[m],Elev(left)[m],East(center)[m],North(center)[m],Elev(center)[m],East(right)[m],North(right)[m],Elev(right)[m],Cant[mm],Gauge[mm],Chainage[m],LineName,PrismSide,HeightRefRail
302,vg,545613.6173,201992.3005,328.1626,545614.2753,201992.0101,328.1618,545614.9317,201991.7205,328.1610,-1.6,1436.7,69015.730,L002,0,0,
303,vg,545615.6349,201996.8769,328.1103,545616.2921,201996.5878,328.1096,545616.9488,201996.2988,328.1090,-1.3,1435.5,69020.731,L002,0,0,
304,vg,545617.6659,202001.4967,328.0604,545618.3238,202001.2072,328.0599,545618.9805,202000.9182,328.0594,-1.0,1436.2,69025.777,L002,0,0,
305,vg,545619.6958,202006.1016,328.0119,545620.3525,202005.8120,328.0114,545621.0090,202005.5225,328.0110,-0.9,1435.2,69030.811,L002,0,0,
306,vg,545621.7620,202010.7821,327.9601,545622.4142,202010.4945,327.9582,545623.0707,202010.2050,327.9564,-3.8,1430.3,69035.928,L002,0,0,
307,vg,545623.8428,202015.4988,327.9072,545624.4946,202015.2111,327.9059,545625.1510,202014.9213,327.9046,-2.6,1430.0,69041.082,L002,0,0,
308,vg,545625.8794,202020.1138,327.8584,545626.5329,202019.8256,327.8566,545627.1894,202019.5360,327.8547,-3.7,1431.8,69046.127,L002,0,0,
309,vg,545627.9215,202024.7495,327.8091,545628.5752,202024.4615,327.8083,545629.2318,202024.1723,327.8074,-1.6,1431.8,69051.193,L002,0,0,
310,vg,545629.9591,202029.3697,327.7573,545630.6113,202029.0821,327.7567,545631.2678,202028.7926,327.7561,-1.1,1430.3,69056.243,L002,0,0,
311,vg,545631.9865,202033.9683,327.7080,545632.6385,202033.6808,327.7067,545633.2950,202033.3913,327.7055,-2.5,1430.1,69061.268,L002,0,0,
312,vg,545634.0064,202038.5502,327.6607,545634.6592,202038.2624,327.6585,545635.3157,202037.9729,327.6562,-4.6,1430.9,69066.276,L002,0,0,
313,vg,545636.0315,202043.1430,327.6108,545636.6840,202042.8552,327.6097,545637.3405,202042.5656,327.6086,-2.2,1430.7,69071.295,L002,0,0,
314,vg,545638.0792,202047.7873,327.5648,545638.7328,202047.4993,327.5639,545639.3893,202047.2100,327.5630,-1.8,1431.7,69076.372,L002,0,0,
315,vg,545640.1063,202052.3870,327.5144,545640.7586,202052.0994,327.5131,545641.4151,202051.8099,327.5118,-2.6,1430.4,69081.399,L002,0,0,
316,vg,545642.1374,202056.9931,327.4664,545642.7909,202056.7053,327.4655,545643.4476,202056.4161,327.4647,-1.7,1431.6,69086.432,L002,0,0,
317,vg,545644.1772,202061.6312,327.4146,545644.8304,202061.3438,327.4142,545645.4871,202061.0547,327.4138,-0.8,1431.1,69091.501,L002,0,0,
318,vg,545646.2148,202066.2518,327.3529,545646.8676,202065.9637,327.3539,545647.5240,202065.6740,327.3549,2.0,1431.1,69096.551,L002,0,0,
319,vg,545648.2409,202070.8486,327.3109,545648.8954,202070.5605,327.3123,545649.5521,202070.2714,327.3138,3.0,1432.6,69101.572,L002,0,0,
320,vg,545650.2571,202075.4299,327.2678,545650.9111,202075.1418,327.2687,545651.5677,202074.8525,327.2697,1.9,1432.2,69106.579,L002,0,0,
321,vg,545652.2954,202080.0484,327.2203,545652.9488,202079.7601,327.2208,545653.6053,202079.4705,327.2212,0.9,1431.7,69111.628,L002,0,0,
322,vg,545654.3157,202084.6275,327.1681,545654.9681,202084.3395,327.1703,545655.6245,202084.0498,327.1724,4.3,1430.6,69116.633,L002,0,0,
323,vg,545656.3435,202089.2192,327.1240,545656.9950,202088.9321,327.1257,545657.6515,202088.6427,327.1275,3.5,1429.4,69121.652,L002,0,0,
324,vg,545658.3844,202093.8566,327.0748,545659.0383,202093.5682,327.0769,545659.6948,202093.2786,327.0790,4.1,1432.2,69126.720,L002,0,0,
325,vg,545660.4100,202098.4334,327.0300,545661.0608,202098.1455,327.0312,545661.7170,202097.8552,327.0324,2.5,1429.2,69131.725,L002,0,0,
326,vg,545662.4626,202103.0832,326.9792,545663.1152,202102.7958,326.9792,545663.7719,202102.5066,326.9792,-0.0,1430.6,69136.807,L002,0,0,
